file_name,year,degreeSeekingFirstYear_AAPI,degreeSeekingFirstYear_AIAN,degreeSeekingFirstYear_Black,degreeSeekingFirstYear_Latinx,degreeSeekingFirstYear_Unknown,degreeSeekingFirstYear_intl,degreeSeekingFirstYear_white,degreeSeekingFirstYear_Asian,degreeSeekingFirstYear_NHPI,degreeSeekingFirstYear_multi,degreeSeekingAll_AAPI,degreeSeekingAll_AIAN,degreeSeekingAll_Black,degreeSeekingAll_Latinx,degreeSeekingAll_Unknown,degreeSeekingAll_intl,degreeSeekingAll_white,degreeSeekingAll_Asian,degreeSeekingAll_NHPI,degreeSeekingAll_multi,allStudents_AAPI,allStudents_AIAN,allStudents_Black,allStudents_Latinx,allStudents_Unknown,allStudents_intl,allStudents_white,allStudents_Asian,allStudents_NHPI,allStudents_multi,forbes_ranking,school_name,public_private,Rigor of secondary school record,Class rank,Academic GPA,Standardized test scores,Application Essay,Recommendation(s),Interview,Extracurricular activities,Talent/ability,Character/personal qualities,First Generation,Alumni/ae relation,Geographical residence,State residency,Religious affiliation/commitment,Racial/ethnic status,Volunteer work,Work experience,Level of applicant’s interest
01_10_11,2010,0,1,96,104,32,140,651,237,1,50,0,14,388,398,168,542,2509,868,6,249,0,0,0,0,0,0,0,0,0,0,1,Princeton University,Private,4,4,4,4,4,4,2,3,4,4,2,2,2,1,1,2,2,2,2
02_10_11,2010,0,23,128,306,127,138,534,273,8,135,0,88,506,1079,548,493,2350,1223,19,581,0,0,0,0,0,0,0,0,0,0,2,Stanford University,Private,4,4,4,4,4,4,1,4,4,4,2,2,2,1,1,2,2,2,1
04_10_11,2010,0,3,90,124,22,150,657,212,1,84,0,23,316,483,456,520,2471,749,3,275,0,23,316,484,458,520,2480,751,3,275,4,Yale University,Private,4,4,4,4,4,4,2,4,4,4,2,2,2,2,1,2,2,2,1
07_10_11,2010,0,6,148,206,126,248,1159,411,2,64,0,45,730,649,858,1071,4556,1843,7,106,0,45,730,649,858,1071,4556,1843,7,106,7,University of Pennsylvania,Private,4,2,3,3,4,4,2,3,2,4,2,2,2,1,1,2,2,2,1
08_10_11,2010,0,8,99,144,176,160,739,252,0,92,0,31,457,542,812,675,2863,1057,4,200,0,31,457,542,812,675,2863,1057,4,200,8,Harvard University,Private,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1
09_10_11,2010,0,4,57,101,53,107,416,211,0,0,0,13,244,399,244,330,1511,744,0,0,0,13,245,400,244,359,1522,746,0,0,9,Rice University,Private,4,4,4,4,4,4,2,4,4,4,2,2,2,2,1,2,2,2,2
10_10_11,2010,0,15,169,325,308,258,1466,485,0,153,0,52,735,1162,1663,1208,6426,2241,11,387,0,52,735,1163,1667,1249,6428,2243,11,387,10,Cornell University,Private,4,3,4,4,4,4,2,4,4,2,2,2,2,2,1,2,2,2,1
11_10_11,2010,0,3,115,174,28,134,1193,411,1,69,0,13,424,615,334,477,4754,1710,4,167,0,0,0,0,0,0,0,0,0,0,11,Northwestern University,Private,4,4,4,3,4,4,2,3,3,3,2,2,1,1,1,2,2,2,2
16_10_11,2010,0,20,74,96,119,82,522,156,0,67,0,135,330,346,253,302,2082,605,8,74,0,135,331,348,320,326,2099,607,8,74,16,Dartmouth College,Private,4,4,4,4,4,4,2,4,3,4,2,2,2,1,1,2,3,2,2
17_10_11,2010,0,2,44,54,0,37,324,60,0,27,0,6,150,205,0,142,1200,212,0,79,0,0,0,0,0,0,0,0,0,0,17,Williams College,Private,4,3,4,4,4,4,1,3,3,2,2,2,2,1,1,2,2,2,1
18_10_11,2010,0,7,105,150,152,153,666,180,1,85,0,26,361,563,671,586,2801,889,8,197,0,28,368,578,698,617,2899,922,8,200,18,Brown University,Private,4,3,3,3,3,3,2,3,4,4,2,2,2,2,1,2,2,2,4
21_10_11,2010,0,22,59,586,357,212,724,1987,0,0,0,116,410,3176,2269,1750,5636,10306,0,0,0,116,410,3176,2269,1750,5636,10306,0,0,21,UCSD,Public,4,1,4,4,4,1,1,3,3,3,2,1,2,3,1,1,3,2,1
22_10_11,2010,0,0,4,11,4,22,73,93,0,11,0,0,10,58,19,116,358,377,10,10,0,0,10,58,19,116,358,377,10,10,22,California Institute of Technology,Private,4,3,3,3,3,3,1,3,2,3,2,2,1,1,1,2,2,2,1
23_10_11,2010,0,0,48,58,8,69,278,138,0,34,0,5,144,208,35,236,1045,514,1,103,0,5,144,210,86,259,1082,521,1,103,23,Wellesley College,Private,4,3,4,4,4,4,2,3,3,4,2,2,2,2,1,2,2,2,2
24_10_11,2010,0,0,61,57,33,44,206,53,0,36,0,2,203,198,229,163,694,183,0,122,0,2,203,198,229,163,694,183,0,122,24,Amherst College,Private,4,3,4,4,4,4,1,4,4,4,4,3,2,2,1,NA,3,2,1
25_10_11,2010,0,1,23,65,8,19,320,37,0,34,0,2,89,211,9,60,1141,128,3,108,0,2,89,211,9,64,1148,128,3,108,25,Bowdoin College,Private,4,4,4,3,4,4,2,4,4,4,3,3,2,2,1,2,1,1,1
26_10_11,2010,0,11,565,1062,149,50,3718,592,13,223,0,124,3034,5344,1109,297,18857,2682,43,553,0,0,0,0,0,0,0,0,0,0,26,University of Florida,Public,4,2,4,3,4,1,1,4,4,4,3,2,3,2,1,1,4,3,2
27_10_11,2010,0,1,22,49,13,37,183,57,0,26,0,6,97,175,140,110,679,216,0,86,0,6,97,175,145,111,687,217,0,86,27,Swarthmore College,Private,4,4,4,3,4,4,2,3,2,4,2,2,2,1,1,2,2,2,2
29_10_11,2010,0,11,283,275,55,264,4506,876,0,211,0,48,1208,1161,925,1578,17886,3111,6,907,0,49,1214,1167,940,1644,17970,3125,6,912,29,UMich - Ann Arbor,Public,4,2,3,3,3,3,1,2,2,3,3,2,2,2,1,1,2,2,3
31_10_11,2010,0,19,354,277,14,73,2771,332,2,118,0,114,1609,1942,498,392,11867,1054,166,301,0,120,1700,1983,552,409,12252,1074,177,312,31,UNC,Public,4,4,4,4,4,4,1,4,4,4,3,3,1,4,1,3,3,3,1
38_10_11,2010,0,6,146,167,13,219,1628,443,3,87,0,21,793,710,78,885,8119,2208,12,334,0,21,855,740,86,972,8389,2334,12,341,38,Georgia Tech,Public,4,1,4,3,3,1,1,4,3,3,1,2,3,3,1,2,3,3,1
40_10_11,2010,0,6,359,508,54,907,3945,980,26,144,0,44,1777,2134,226,3184,18704,4041,55,556,0,46,1800,2163,266,3508,19021,4119,56,561,40,UIUC,Public,4,3,4,3,3,1,1,3,3,2,2,1,2,2,1,2,2,2,1
41_10_11,2010,0,7,508,297,189,75,2171,561,0,121,0,45,3084,1894,772,588,15148,3959,37,667,0,46,3192,1927,858,632,15427,4012,37,745,41,UMD,Public,4,3,4,4,3,3,1,2,3,2,3,2,2,3,1,2,2,2,1
