file_name,year,degreeSeekingFirstYear_AAPI,degreeSeekingFirstYear_AIAN,degreeSeekingFirstYear_Black,degreeSeekingFirstYear_Latinx,degreeSeekingFirstYear_Unknown,degreeSeekingFirstYear_intl,degreeSeekingFirstYear_white,degreeSeekingFirstYear_Asian,degreeSeekingFirstYear_NHPI,degreeSeekingFirstYear_multi,degreeSeekingAll_AAPI,degreeSeekingAll_AIAN,degreeSeekingAll_Black,degreeSeekingAll_Latinx,degreeSeekingAll_Unknown,degreeSeekingAll_intl,degreeSeekingAll_white,degreeSeekingAll_Asian,degreeSeekingAll_NHPI,degreeSeekingAll_multi,allStudents_AAPI,allStudents_AIAN,allStudents_Black,allStudents_Latinx,allStudents_Unknown,allStudents_intl,allStudents_white,allStudents_Asian,allStudents_NHPI,allStudents_multi,forbes_ranking,school_name,public_private,Rigor of secondary school record,Class rank,Academic GPA,Standardized test scores,Application Essay,Recommendation(s),Interview,Extracurricular activities,Talent/ability,Character/personal qualities,First Generation,Alumni/ae relation,Geographical residence,State residency,Religious affiliation/commitment,Racial/ethnic status,Volunteer work,Work experience,Level of applicant’s interest
55_97_98,1997,85,4,63,49,0,18,1112,0,0,0,0,0,0,0,0,0,0,0,0,0,398,13,300,141,0,74,4637,0,0,0,55,William & Mary,Public,4,3,NA,3,3,2,1,3,2,2,NA,3,2,4,1,NA,2,1,1
17_98_99,1998,49,4,35,36,0,28,385,0,0,0,185,8,130,131,0,90,1466,0,0,0,0,0,0,0,0,0,0,0,0,0,17,Williams College,Private,4,3,NA,4,4,4,1,3,3,2,NA,2,1,1,1,2,2,2,NA
29_98_99,1998,628,34,443,229,351,217,3351,0,0,0,2704,172,2070,1009,1272,983,15805,0,0,0,0,0,0,0,0,0,0,0,0,0,29,UMich - Ann Arbor,Public,4,3,NA,3,2,2,1,2,3,2,NA,2,2,3,1,3,2,1,NA
55_98_99,1998,99,3,53,27,0,24,1086,0,0,0,0,0,0,0,0,0,0,0,0,0,389,17,254,148,0,80,4654,0,0,0,55,William & Mary,Public,4,3,NA,3,3,2,1,3,2,2,NA,3,2,4,1,NA,2,1,1
57_98_99,1998,317,17,31,183,211,6,1540,0,0,0,1782,241,223,1926,1570,101,9505,0,0,0,0,0,0,0,0,0,0,0,0,0,57,"Cal Poly State, San Luis Obispo",Public,4,1,NA,4,1,1,1,2,2,1,NA,1,1,1,1,2,2,2,NA
10_99_00,1999,546,18,148,183,99,223,1917,0,0,0,2244,74,608,811,580,978,8344,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Cornell University,Private,4,3,NA,3,3,3,2,2,2,2,NA,2,2,2,1,2,2,2,NA
17_99_00,1999,54,1,35,36,0,35,383,0,0,0,186,8,138,131,0,115,1474,0,0,0,0,0,0,0,0,0,0,0,0,0,17,Williams College,Private,4,3,NA,4,4,4,1,3,3,2,NA,2,1,1,1,2,2,2,NA
29_99_00,1999,726,36,397,203,319,264,3614,0,0,0,2873,148,1974,988,1443,1085,15982,0,0,0,0,0,0,0,0,0,0,0,0,0,29,UMich - Ann Arbor,Public,4,3,NA,3,2,2,1,2,3,2,NA,2,2,3,1,3,2,1,NA
31_99_00,1999,180,27,386,53,0,39,2711,0,0,0,745,104,1667,179,0,127,12150,0,0,0,0,0,0,0,0,0,0,0,0,0,31,UNC,Public,4,3,NA,4,3,3,1,3,2,2,NA,2,1,4,1,2,3,3,NA
55_99_00,1999,91,5,54,35,0,14,1102,0,0,0,368,20,241,151,0,70,4619,0,0,0,0,0,0,0,0,0,0,0,0,0,55,William & Mary,Public,4,3,NA,3,3,2,1,3,2,2,NA,3,2,4,1,NA,2,1,1
57_99_00,1999,284,22,17,219,932,13,1139,0,0,0,1691,193,193,1750,2409,138,9129,0,0,0,0,0,0,0,0,0,0,0,0,0,57,"Cal Poly State, San Luis Obispo",Public,4,1,NA,4,1,1,1,2,2,1,NA,1,1,1,1,2,2,2,NA
